Country,gdp2010,gdp2011,gdp2012
Ethiopia,29706216184.00,31708848033.00,43133073100.00
Faeroe Islands,,,
Fiji,3173316478.00,3818108967.00,3881890698.00
Finland,235000000000.00,263000000000.00,250000000000.00
France,2550000000000.00,2780000000000.00,2610000000000.00
French Polynesia,,,
Gabon,14539337959.00,18791347239.00,18661104043.00
Gambia,951805801.40,898282865.90,917292053.00
Georgia,11638236643.00,14434619972.00,15829300979.00
Germany,3280000000000.00,3600000000000.00,3400000000000.00
Ghana,32299226079.00,39177828488.00,40710447429.00
Greece,292000000000.00,290000000000.00,249000000000.00
Greenland,,,
Grenada,769708641.60,780334231.40,789542404.40
Guam,,,
Guatemala,41340507361.00,46980150075.00,50806430482.00
Guinea,4735956476.00,5095824524.00,6767919333.00
Guinea-Bissau,835390893.00,967762548.70,897408214.30
Guyana,2259288026.00,2576731667.00,2850572407.00
Haiti,6634579143.00,7346156703.00,7843484458.00
Honduras,15396291005.00,17423742072.00,17967497441.00
Hong Kong,229000000000.00,249000000000.00,263000000000.00
Hungary,129000000000.00,139000000000.00,126000000000.00
Iceland,12564460546.00,14074764558.00,13656532880.00
India,1710000000000.00,1870000000000.00,1840000000000.00
Indonesia,709000000000.00,846000000000.00,878000000000.00
Iran,423000000000.00,514000000000.00,
Iraq,135000000000.00,181000000000.00,210000000000.00
Ireland,206000000000.00,221000000000.00,210000000000.00
Isle of Man,,,
Israel,217000000000.00,243000000000.00,
Italy,2040000000000.00,2190000000000.00,2010000000000.00
Jamaica,13202861067.00,14425917751.00,14839858411.00
Japan,5500000000000.00,5900000000000.00,5960000000000.00
Jordan,26425379367.00,28840197019.00,31243324000.00
Kazakhstan,148000000000.00,188000000000.00,202000000000.00
Kenya,32198151217.00,33620684016.00,37229405067.00
Kiribati,141610713.60,166683857.70,175709256.60
Korea Dem. Rep.,,,
Korea Rep.,1010000000000.00,1110000000000.00,1130000000000.00
Kosovo,5593654275.00,6452514048.00,6237563675.00
Kuwait,124000000000.00,177000000000.00,
Kyrgyz Republic,4794361821.00,6197765942.00,6473175648.00
Lao PDR,7181441152.00,8226921895.00,9298926552.00
Latvia,24009680460.00,28480338368.00,28373857404.00
Lebanon,37124378109.00,40094328358.00,42945273632.00
Lesotho,2203867071.00,2524537450.00,2447573299.00
Liberia,1292696476.00,1545412512.00,1767121781.00
Libya,,,
Liechtenstein,,,
Lithuania,36306384146.00,42872072871.00,42245532390.00
Luxembourg,52507236842.00,59200833333.00,57117125225.00
Macao,28359706123.00,36796998498.00,43582271462.00
Macedonia,9338665631.00,10439099881.00,9663203711.00
Madagascar,8837041787.00,9911781297.00,9975124872.00
Malawi,5398616985.00,5621000678.00,4263794984.00
Malaysia,247000000000.00,288000000000.00,304000000000.00
Maldives,2134104884.00,2153636963.00,2222429330.00
Mali,9422267260.00,10656395534.00,10308146676.00
Malta,8163841060.00,9151793161.00,8721923077.00
Marshall Islands,162935849.80,173700000.00,186901200.00
Mauritania,3671380305.00,4273232648.00,4199051817.00
Mauritius,9718331363.00,11241885393.00,10492013574.00
Mexico,1040000000000.00,1160000000000.00,1180000000000.00
Micronesia,294117230.50,310287519.30,327200000.00
Moldova,5811622394.00,7015201446.00,7254113625.00
Monaco,5350993377.00,6074506533.00,
Mongolia,6200357070.00,8761426371.00,10271393281.00
Montenegro,4114780574.00,4501811520.00,4231452000.00
Morocco,90770671432.00,99211339029.00,96729450169.00
Mozambique,9274448732.00,12568440513.00,14587709350.00
Myanmar,,,
Namibia,11032994277.00,12477806263.00,12807113496.00
