What city do you live in?,"What state or province do you live in, if applicable?",What country do you live in?,What is your age?,How often do you try to make other people happy?,Are your surroundings physically safe?,Do the people you're close to (family/friends) love and support you?,How often do you listen to music you enjoy?,"How often do you use technology (games, social media, etc.) for entertainment? ",How many hours of uninterrupted sleep do you get each night?,How often are you outdoors?,Do you feel respected by other people?,How much exercise do you get weekly?,How often do you smile every day?,Do you love and appreciate yourself?,"How often do you feel happy with what you do every day (e.g. work, school)?",How often do you argue with people who are close to you?
Indianapolis,Indiana,United States,13,4,2,2,5,5,1-3 hours,4,1,30- 60 minutes a week,3,1,2,5
Indianapolis,Indiana,United States,15,4,3,4,5,4,4-6 hours,4,4,More than 90 minutes a week,2,3,2,3
Fort Wayne,Indiana,United States,43,4,4,4,3,2,7-9 hours,3,4,30- 60 minutes a week,5,5,4,4
Arroyo Grande,California,United States,15,4,5,5,4,3,7-9 hours,5,4,More than 90 minutes a week,5,4,4,2
Davis,California,United States,18,4,5,4,4,4,4-6 hours,4,4,60-90 minutes a week,3,4,3,3
Trumann,Arkansas,United States,17,5,4,3,5,5,7-9 hours,4,2,30- 60 minutes a week,5,5,3,2
Trumann,Arkansas,United States,16,3,5,5,5,5,7-9 hours,3,3,30- 60 minutes a week,4,4,3,4
American Canyon,California,United States,11,4,5,5,5,5,7-9 hours,3,4,30- 60 minutes a week,5,5,4,3
Cherokee Village,Arkansas,United States,13,4,2,3,4,4,7-9 hours,2,2,30- 60 minutes a week,3,2,2,2
Napa,California,United States,16,5,4,4,4,5,4-6 hours,3,3,Less than 30 minutes a week,2,1,1,3
Hickory Ridge,Arkansas,United States,16,4,4,5,4,3,7-9 hours,4,4,30- 60 minutes a week,4,4,4,3
Akron,Ohio,United States,15,3,4,2,5,5,4-6 hours,3,2,Less than 30 minutes a week,5,4,4,4
Turrell,Arkansas,United States,17,3,3,5,5,5,4-6 hours,4,5,More than 90 minutes a week,4,4,4,4
Davis,California,United States,12,5,5,5,5,4,7-9 hours,4,3,More than 90 minutes a week,5,5,5,2
Van Wert,Ohio,United States,15,4,4,5,4,3,4-6 hours,4,4,More than 90 minutes a week,4,4,3,3
Destrehan,Louisiana,United States,18,4,4,5,5,3,4-6 hours,2,4,More than 90 minutes a week,4,3,2,3
Trumann,Arkansas,United States,17,2,5,4,5,5,7-9 hours,1,1,Less than 30 minutes a week,3,2,2,4
Van Buren,Arkansas,United States,16,4,5,5,5,4,4-6 hours,5,4,More than 90 minutes a week,5,3,3,5
Van Wert,Ohio,United States,15,4,4,5,4,5,7-9 hours,3,4,Less than 30 minutes a week,3,3,2,4
Arroyo Grande,California,United States,15,5,4,5,5,5,7-9 hours,4,5,60-90 minutes a week,5,4,3,4
Lincoln,Arkansas,United States,17,4,4,5,4,5,4-6 hours,3,4,60-90 minutes a week,4,5,4,2
Clever,Missouri,United States,25,4,5,5,3,3,1-3 hours,2,2,30- 60 minutes a week,3,1,3,2
Santa Ana,California,United States,15,5,5,4,5,3,7-9 hours,4,4,More than 90 minutes a week,4,4,5,2
Arroyo Grande,California,United States,16,4,5,5,4,5,7-9 hours,3,3,More than 90 minutes a week,4,4,3,2
Republic,Missouri,United States,42,5,5,5,5,5,4-6 hours,4,4,More than 90 minutes a week,4,4,4,1
Nipomo,California,United States,15,5,3,2,5,5,4-6 hours,2,2,30- 60 minutes a week,2,1,1,3
Ruston,Louisiana,United States,14,5,5,5,5,5,7-9 hours,2,3,More than 90 minutes a week,5,5,5,5
Arroyo Grande,California,United States,15,5,4,5,5,5,4-6 hours,3,4,60-90 minutes a week,4,3,3,1
Nipomo,California,United States,15,3,4,4,2,3,4-6 hours,3,4,30- 60 minutes a week,3,4,4,3
Napa,California,United States,16,4,4,5,4,4,7-9 hours,3,3,More than 90 minutes a week,3,4,4,4
Lowell,Indiana,United States,13,4,4,5,5,3,More than 9 hours,4,2,30- 60 minutes a week,4,4,1,3
Columbus,Indiana,United States,13,4,4,4,4,2,4-6 hours,3,3,60-90 minutes a week,3,2,3,4
South Bend,Indiana,United States,16,5,3,5,5,5,4-6 hours,4,2,30- 60 minutes a week,5,3,2,4
Columbus,Indiana,United States,15,5,3,3,5,5,4-6 hours,4,3,30- 60 minutes a week,5,3,4,2
Nipomo,California,United States,16,4,4,3,5,4,7-9 hours,5,1,More than 90 minutes a week,3,1,3,5
Sioux Falls,South Dakota,United States,15,4,5,5,5,4,More than 9 hours,3,3,60-90 minutes a week,5,4,4,2
Napa,California,United States,15,4,4,4,5,3,4-6 hours,4,3,More than 90 minutes a week,4,2,3,2
Albuquerque,New Mexico,United States,18,5,5,5,5,5,7-9 hours,3,4,30- 60 minutes a week,5,4,4,3
American Canyon,California,United States,13,5,4,5,5,4,7-9 hours,4,4,60-90 minutes a week,5,4,3,5
American Canyon,California,United States,14,4,4,5,5,4,7-9 hours,4,4,More than 90 minutes a week,4,5,4,4
Covina,California,United States,55,4,4,4,3,2,4-6 hours,3,4,60-90 minutes a week,4,4,4,4
Albuquerque,New Mexico,United States,15,4,3,5,5,5,1-3 hours,2,2,More than 90 minutes a week,4,3,2,5
Rogers,Arkansas,United States,16,5,4,3,5,5,1-3 hours,3,3,Less than 30 minutes a week,4,3,4,3
Oceano,California,United States,15,5,5,5,5,5,4-6 hours,3,4,More than 90 minutes a week,5,4,4,2
Sacramento,California,United States,15,3,2,3,5,5,1-3 hours,2,3,More than 90 minutes a week,5,4,4,5
 Maryville,Tennessee,United States,13,3,4,5,4,5,4-6 hours,3,2,More than 90 minutes a week,3,2,1,3
Grand Rapids,Michigan,United States,16,4,3,5,4,4,4-6 hours,3,4,More than 90 minutes a week,5,2,3,1
Columbus,Indiana,United States,15,3,5,4,5,3,7-9 hours,3,3,Less than 30 minutes a week,2,2,4,4
Camby,Indiana,United States,16,3,5,5,5,5,Less than an hour,2,3,Less than 30 minutes a week,3,1,3,3
Rochester,Indiana,United States,16,4,4,3,5,3,4-6 hours,3,2,30- 60 minutes a week,4,2,2,3
Zion,Illinois,United States,16,5,4,4,5,3,7-9 hours,4,4,More than 90 minutes a week,3,5,4,3
Pinckney,Michigan,United States,16,5,4,4,5,5,4-6 hours,3,2,30- 60 minutes a week,5,3,3,3
Howe,Indiana,United States,16,3,3,4,5,5,7-9 hours,2,4,Less than 30 minutes a week,2,2,3,4
Sioux Falls,South Dakota,United States,15,4,4,5,5,5,More than 9 hours,4,5,Less than 30 minutes a week,4,5,4,2
Palm Coast,Florida,United States,15,5,2,1,5,5,1-3 hours,1,1,Less than 30 minutes a week,2,1,1,5
Palm Coast,Florida,United States,48,5,5,4,4,3,4-6 hours,3,4,30- 60 minutes a week,4,4,4,3
Van Wert,Ohio,United States,15,5,4,5,5,5,4-6 hours,4,5,More than 90 minutes a week,4,4,5,3
Van Wert,Ohio,United States,15,5,4,5,5,5,4-6 hours,4,5,More than 90 minutes a week,4,4,5,3
Midland,Michigan,United States,15,4,5,5,5,4,4-6 hours,4,3,More than 90 minutes a week,3,3,3,3
Highland,Arkansas,United States,13,5,3,5,5,5,4-6 hours,2,3,30- 60 minutes a week,5,3,4,4
Maryville,Tennessee,United States,13,3,3,5,5,5,7-9 hours,1,5,Less than 30 minutes a week,5,5,1,3
Lincoln,Arkansas,United States,14,3,4,3,5,4,4-6 hours,4,3,60-90 minutes a week,3,2,3,4
Melleyvill,Tennessee,United States,13,3,3,5,5,5,7-9 hours,2,2,Less than 30 minutes a week,4,2,5,4
Maryville,Tennessee,United States,12,2,4,4,4,4,More than 9 hours,2,4,Less than 30 minutes a week,3,3,4,3
Danville,Illinois,United States,16,3,1,4,5,4,7-9 hours,3,5,30- 60 minutes a week,5,5,4,5
Maryville,Tennessee,United States,11,4,5,5,4,3,7-9 hours,3,4,More than 90 minutes a week,4,3,3,2
Dumas,Arkansas,United States,18,4,3,4,5,3,7-9 hours,3,3,More than 90 minutes a week,2,5,3,4
Maryville,Tennessee,United States,11,3,4,5,5,5,4-6 hours,2,3,30- 60 minutes a week,2,3,3,4
South Bend,Indiana,United States,14,3,4,4,5,5,1-3 hours,3,4,More than 90 minutes a week,2,3,2,4
Powhatan,Arkansas,United States,18,5,5,5,5,2,7-9 hours,5,1,30- 60 minutes a week,3,5,3,3
Arroyo Grande,California,United States,15,5,3,4,5,5,4-6 hours,3,3,More than 90 minutes a week,5,3,3,4
Grover Beach,California,United States,15,5,5,5,3,5,1-3 hours,1,5,More than 90 minutes a week,5,4,1,5
Nipomo,California,United States,16,4,5,4,4,5,7-9 hours,1,4,More than 90 minutes a week,4,4,3,3
Nipomo,California,United States,15,5,4,3,5,5,7-9 hours,3,3,60-90 minutes a week,3,3,2,1
University Heights,Ohio,United States,15,4,4,5,4,4,7-9 hours,4,3,More than 90 minutes a week,4,3,3,3
Sacramento,California,United States,16,4,3,4,5,5,4-6 hours,2,3,Less than 30 minutes a week,5,4,2,2
Far Rockaway,New York,United States,16,3,2,4,5,3,7-9 hours,2,2,Less than 30 minutes a week,3,2,2,3
Pinckney,Michigan,United States,17,4,4,4,5,3,4-6 hours,5,3,More than 90 minutes a week,3,4,3,2
Arroyo Grande,California,United States,16,3,5,5,4,5,7-9 hours,3,4,More than 90 minutes a week,3,4,4,3
American Canyon,California,United States,18,5,4,5,5,5,Less than an hour,5,5,Less than 30 minutes a week,5,5,5,5
South Bend,Indiana,United States,15,4,5,4,5,5,7-9 hours,3,3,30- 60 minutes a week,2,3,2,4
Sturgis,Michigan,United States,16,4,4,4,5,5,7-9 hours,3,4,30- 60 minutes a week,5,4,4,4
Troy,New York,United States,15,5,4,5,5,4,4-6 hours,2,2,More than 90 minutes a week,3,4,4,2
Wynanstkill,New York,United States,16,2,4,3,3,3,1-3 hours,5,3,More than 90 minutes a week,2,3,3,3
Mill Valley,California,United States,17,4,5,5,5,4,7-9 hours,4,4,60-90 minutes a week,4,2,3,3
Napa,California,United States,16,4,4,4,3,4,7-9 hours,4,3,More than 90 minutes a week,3,4,3,2
Fort Wayne,Indiana,United States,14,3,4,2,5,4,1-3 hours,2,2,30- 60 minutes a week,4,2,3,4
Ozark,Missouri,United States,41,3,5,4,5,3,7-9 hours,4,4,30- 60 minutes a week,5,4,5,4
Seaford,Delaware,United States,16,5,4,5,5,5,4-6 hours,5,4,30- 60 minutes a week,5,5,5,2
Columbus,Indiana,United States,17,2,4,4,5,5,4-6 hours,1,2,Less than 30 minutes a week,2,1,1,5
Bloomington,Indiana,United States,35,4,5,5,3,3,4-6 hours,3,5,More than 90 minutes a week,5,5,4,2
Van Buren,Arkansas,United States,16,5,1,5,5,5,7-9 hours,3,1,30- 60 minutes a week,4,3,2,2
Los Angeles,California,United States,16,5,5,4,5,5,More than 9 hours,4,5,More than 90 minutes a week,5,5,3,3
Nipomo,California,United States,15,3,3,4,5,3,4-6 hours,2,3,30- 60 minutes a week,3,3,2,3
American Canyon,California,United States,15,4,3,4,5,4,4-6 hours,2,3,30- 60 minutes a week,3,1,1,4
Nipomo,California,United States,15,4,3,5,4,4,7-9 hours,5,4,More than 90 minutes a week,4,4,4,3
New Orleans,Louisiana,United States,42,4,5,5,5,2,4-6 hours,5,5,60-90 minutes a week,5,5,5,4
Idaho Falls,Idaho,United States,14,4,5,5,4,1,1-3 hours,5,4,60-90 minutes a week,4,2,5,1
Woodland,California,United States,14,2,4,4,4,4,4-6 hours,3,3,More than 90 minutes a week,2,4,4,2
Fort Wayne,Indiana,United States,17,5,5,5,5,5,4-6 hours,3,3,Less than 30 minutes a week,5,3,4,2
Vancouver,Washington,United States,15,5,3,4,5,5,7-9 hours,4,4,30- 60 minutes a week,4,3,4,3
Vancouver,Washington,United States,17,2,3,3,4,3,Less than an hour,3,2,Less than 30 minutes a week,5,1,1,5
Vancouver,Washington,United States,17,2,3,3,5,5,More than 9 hours,3,2,More than 90 minutes a week,1,3,1,5
Vancouver,Washington,United States,16,4,4,4,5,5,4-6 hours,3,4,Less than 30 minutes a week,4,5,5,4
vancouver,Washington,United States,17,3,5,3,5,4,4-6 hours,4,4,30- 60 minutes a week,3,4,3,3
Vancouver,Washington,United States,15,4,4,5,3,5,4-6 hours,3,4,Less than 30 minutes a week,5,5,4,3
Ruston,Louisiana,United States,16,4,2,5,4,5,4-6 hours,3,4,More than 90 minutes a week,4,5,4,4
Scottsburg,Iowa,United States,15,4,2,3,4,5,4-6 hours,2,2,60-90 minutes a week,3,3,2,3
Scottsburg,Iowa,United States,15,4,2,3,4,5,4-6 hours,2,2,60-90 minutes a week,3,3,2,3
Napa,California,United States,12,1,1,1,1,5,Less than an hour,1,1,Less than 30 minutes a week,1,1,1,5
San Anselmo,California,United States,16,4,4,1,5,5,4-6 hours,1,2,60-90 minutes a week,2,1,3,5
Albuquerque,New Mexico,United States,15,4,4,2,4,3,7-9 hours,2,4,More than 90 minutes a week,2,4,4,5
Anderson,California,United States,16,4,3,3,5,5,4-6 hours,4,4,Less than 30 minutes a week,4,3,2,5
LaGrange,Indiana,United States,15,4,5,5,5,5,7-9 hours,3,4,60-90 minutes a week,5,4,4,2
Napa,California,United States,12,4,3,5,4,5,7-9 hours,3,4,Less than 30 minutes a week,5,5,3,2
Napa,California,United States,15,5,3,2,5,4,7-9 hours,3,2,60-90 minutes a week,5,3,2,5
Los Angeles,California,United States,17,5,3,5,5,5,4-6 hours,5,5,60-90 minutes a week,5,5,5,4
Menands,New York,United States,15,4,4,3,4,5,4-6 hours,3,1,60-90 minutes a week,2,2,3,3
Kenner,Louisiana,United States,17,4,4,3,5,3,4-6 hours,4,2,60-90 minutes a week,4,3,4,5
Vallejo,California,United States,14,4,4,4,3,4,4-6 hours,4,2,More than 90 minutes a week,4,2,3,3
Pinckney,Michigan,United States,15,4,4,3,5,4,4-6 hours,3,3,60-90 minutes a week,3,1,2,3
Rogers,Arkansas,United States,15,3,4,3,5,5,4-6 hours,1,3,Less than 30 minutes a week,3,1,2,2
American Canyon,California,United States,17,4,4,3,5,5,4-6 hours,2,2,More than 90 minutes a week,1,3,1,2
Brownsville,New York,United States,14,5,5,5,5,5,More than 9 hours,3,1,30- 60 minutes a week,5,5,1,5
Nipomo,California,United States,14,3,4,5,2,4,4-6 hours,3,3,Less than 30 minutes a week,4,5,3,2
Arkadelphia,Arkansas,United States,16,5,4,3,5,5,4-6 hours,3,4,More than 90 minutes a week,3,2,3,1
Maryville,Tennessee,United States,13,3,5,5,4,5,7-9 hours,4,5,30- 60 minutes a week,4,5,5,3
Cleveland,Ohio,United States,14,5,5,4,5,3,1-3 hours,4,4,30- 60 minutes a week,5,4,4,2
Bethel Heights,Arkansas,United States,14,4,4,4,4,4,7-9 hours,3,3,Less than 30 minutes a week,4,3,3,2
Arroyo Grande,California,United States,16,4,5,5,4,5,7-9 hours,5,4,More than 90 minutes a week,5,5,5,3
Arroyo Grande,California,United States,16,4,5,5,4,5,7-9 hours,5,4,More than 90 minutes a week,5,5,5,4
Idaho Falls,Idaho,United States,16,5,5,5,5,5,4-6 hours,2,2,Less than 30 minutes a week,3,3,3,2
Nipomo,California,United States,36,4,5,4,3,5,4-6 hours,5,4,30- 60 minutes a week,5,4,3,2
Nipomo,California,United States,15,4,4,5,5,5,7-9 hours,4,3,30- 60 minutes a week,4,5,5,4
Santa Maria,California,United States,18,5,5,5,4,5,7-9 hours,5,5,More than 90 minutes a week,5,5,4,4
Grover Beach,California,United States,15,5,3,5,4,5,7-9 hours,2,3,More than 90 minutes a week,3,2,1,1
Davis,California,United States,18,4,3,3,4,4,4-6 hours,3,2,More than 90 minutes a week,4,2,2,3
Santa Maria,California,United States,48,4,5,4,5,4,4-6 hours,2,3,More than 90 minutes a week,4,4,2,3
woodland,California,United States,16,4,5,4,5,4,7-9 hours,3,3,More than 90 minutes a week,3,5,3,2
Orcutt,California,United States,17,4,4,5,4,4,4-6 hours,4,4,More than 90 minutes a week,4,3,4,5
Santa Ana,California,United States,15,5,4,5,3,5,4-6 hours,4,4,More than 90 minutes a week,4,4,4,2
Santa Ana,California,United States,15,5,4,5,3,5,4-6 hours,4,4,More than 90 minutes a week,4,4,4,2
Davis,California,United States,17,5,4,5,4,5,7-9 hours,4,5,More than 90 minutes a week,5,5,4,3
Scottsburg,Indiana,United States,16,5,3,2,2,3,4-6 hours,1,3,Less than 30 minutes a week,2,1,2,4
Napa,California,United States,16,5,4,5,5,3,4-6 hours,4,4,More than 90 minutes a week,4,2,2,1
Melbourne,Victoria,Australia,14,4,4,3,5,4,7-9 hours,3,3,30- 60 minutes a week,3,1,3,1
Evansville,Indiana,United States,18,4,4,4,5,4,7-9 hours,3,3,60-90 minutes a week,5,5,4,3
Ridgeway,Virginia,United States,34,4,5,5,4,4,4-6 hours,3,4,Less than 30 minutes a week,4,4,4,3
Zion,Illinois,United States,16,5,5,4,4,5,7-9 hours,4,4,More than 90 minutes a week,4,5,4,2
Ruston,Louisiana,United States,15,2,4,5,5,5,7-9 hours,4,4,More than 90 minutes a week,5,5,4,5
Columbus,Indiana,United States,16,3,5,3,4,5,4-6 hours,2,3,Less than 30 minutes a week,3,3,2,4
Friendsville,Tennessee,United States,13,2,2,4,5,1,1-3 hours,4,3,60-90 minutes a week,4,3,2,3
Maryville,Tennessee,United States,13,5,4,5,5,3,4-6 hours,5,3,30- 60 minutes a week,5,4,4,3
Louisville,Tennessee,United States,13,4,5,5,4,5,7-9 hours,3,4,More than 90 minutes a week,5,5,4,4
Searcy,Arkansas,United States,16,5,5,5,5,5,1-3 hours,3,4,More than 90 minutes a week,4,4,4,5
Cincinnati,Ohio,United States,16,5,5,5,5,4,4-6 hours,3,4,60-90 minutes a week,5,4,4,3
Maryville,Tennessee,United States,11,3,4,5,5,4,7-9 hours,3,4,60-90 minutes a week,4,4,4,4
Maryville,Tennessee,United States,12,5,4,5,5,5,7-9 hours,4,3,30- 60 minutes a week,3,5,3,5
Maryville,Tennessee,United States,13,4,3,4,5,5,4-6 hours,4,4,Less than 30 minutes a week,4,5,5,4
Coleman,Michigan,United States,38,4,4,4,3,3,7-9 hours,2,4,More than 90 minutes a week,2,3,3,2
La Habra,California,United States,38,5,4,4,5,4,4-6 hours,2,3,Less than 30 minutes a week,5,3,3,2
Maryville,Tennessee,United States,12,3,5,5,5,5,4-6 hours,3,5,30- 60 minutes a week,2,5,4,2
Maryville,Tennessee,United States,12,2,3,3,3,5,4-6 hours,3,4,More than 90 minutes a week,1,2,2,5
Redding,California,United States,18,5,5,5,5,5,7-9 hours,4,4,More than 90 minutes a week,5,5,4,4
Arroyo Grande,California,United States,15,4,3,4,5,5,4-6 hours,5,3,More than 90 minutes a week,4,5,5,2
Bloomingdale,New Jersey,United States,37,5,4,5,5,5,4-6 hours,3,4,30- 60 minutes a week,4,4,4,2
Midland,Michigan,United States,15,5,5,5,5,3,4-6 hours,3,5,60-90 minutes a week,5,5,3,2
Rogers,Arkansas,United States,15,5,2,3,5,5,1-3 hours,3,2,More than 90 minutes a week,2,1,1,4
Idaho Falls,Idaho,United States,14,3,4,3,4,4,7-9 hours,2,2,60-90 minutes a week,4,3,4,3
Winthrop Harbor,Illinois,United States,16,1,4,4,5,3,7-9 hours,4,5,More than 90 minutes a week,4,5,3,2
Beach Park,Illinois,United States,17,4,5,4,5,5,7-9 hours,3,4,Less than 30 minutes a week,3,4,5,3
Indianapolis,Indiana,United States,16,5,5,2,3,4,7-9 hours,2,3,60-90 minutes a week,5,4,3,3
Trumann,Arkansas,United States,16,5,5,5,5,5,7-9 hours,3,4,60-90 minutes a week,4,4,4,3
San Diego,California,United States,15,1,1,1,1,4,Less than an hour,1,1,Less than 30 minutes a week,1,1,1,5
Cottonport,Louisiana,United States,15,5,4,4,5,2,4-6 hours,4,2,Less than 30 minutes a week,3,4,3,2
Arroyo Grande,California,United States,15,5,4,3,5,5,4-6 hours,3,2,More than 90 minutes a week,3,2,2,3
Grover Beach,California,United States,15,5,4,5,5,4,7-9 hours,3,4,60-90 minutes a week,4,3,3,1
Grover Beach,California,United States,16,5,3,5,4,4,4-6 hours,3,3,60-90 minutes a week,4,2,3,1
Pinckney,Michigan,United States,18,4,4,5,4,4,7-9 hours,3,4,More than 90 minutes a week,3,5,4,2
Nipomo,California,United States,15,5,4,5,4,4,7-9 hours,5,4,More than 90 minutes a week,5,5,5,3
Nipomo,California,United States,15,3,4,3,4,5,4-6 hours,3,4,More than 90 minutes a week,3,3,2,3
Napa,California,United States,16,3,5,5,5,5,4-6 hours,2,4,30- 60 minutes a week,5,4,4,4
American Canyon,California,United States,13,4,4,4,5,2,7-9 hours,5,4,More than 90 minutes a week,4,4,4,2
Angwin,California,United States,23,5,5,5,5,5,4-6 hours,4,3,60-90 minutes a week,4,4,3,3
American Canyon,California,United States,12,4,4,4,5,5,More than 9 hours,3,4,60-90 minutes a week,5,4,3,4
American Canyon,California,United States,12,5,4,4,5,5,7-9 hours,4,1,More than 90 minutes a week,4,1,3,3
American Canyon,California,United States,13,4,3,4,5,5,7-9 hours,3,2,60-90 minutes a week,4,2,3,4
American Canyon,California,United States,13,3,4,4,5,4,7-9 hours,5,2,30- 60 minutes a week,2,2,4,3
American Canyon,California,United States,12,3,3,4,5,5,7-9 hours,5,4,More than 90 minutes a week,4,3,3,2
American Canyon,California,United States,12,5,3,4,4,5,7-9 hours,4,4,60-90 minutes a week,4,4,4,2
American Canyon,California,United States,12,4,5,5,5,4,7-9 hours,3,4,More than 90 minutes a week,2,4,3,3
American Canyon,California,United States,13,4,3,5,5,5,7-9 hours,3,3,30- 60 minutes a week,5,5,4,2
American Canyon,California,United States,13,5,4,5,5,5,4-6 hours,3,2,60-90 minutes a week,3,1,1,4
American Canyon,California,United States,12,3,4,3,4,5,7-9 hours,4,3,More than 90 minutes a week,4,4,3,3
Kensett,Arkansas,United States,15,5,3,3,5,5,Less than an hour,,3,Less than 30 minutes a week,4,3,1,1
Nipomo,California,United States,16,4,3,4,4,5,4-6 hours,3,3,60-90 minutes a week,4,4,2,3
Oceano,California,United States,15,5,4,5,5,5,4-6 hours,3,4,More than 90 minutes a week,4,3,3,3
Nipomo,California,United States,15,4,5,4,5,5,4-6 hours,2,5,Less than 30 minutes a week,5,4,2,1
Grover Beach,California,United States,16,4,4,5,5,5,7-9 hours,5,4,More than 90 minutes a week,5,4,5,3
Nipomo,California,United States,16,4,2,4,5,5,4-6 hours,5,3,30- 60 minutes a week,5,1,3,5
Arroyo Grande,California,United States,15,3,4,2,4,5,7-9 hours,4,1,More than 90 minutes a week,2,4,2,5
Nipomo,California,United States,57,4,5,5,5,2,4-6 hours,4,4,More than 90 minutes a week,4,4,4,1
Sacramento,California,United States,16,5,5,5,5,5,1-3 hours,1,3,Less than 30 minutes a week,5,1,1,5
Waianae,Hawaii,United States,120,3,3,5,5,5,7-9 hours,4,4,60-90 minutes a week,4,5,4,2
American Canyon,California,United States,13,5,4,3,5,5,4-6 hours,2,2,30- 60 minutes a week,5,1,1,1
Napa,California,United States,17,3,2,1,5,4,4-6 hours,3,2,30- 60 minutes a week,3,2,1,4
Wynantskil,New York,United States,14,3,5,5,4,5,7-9 hours,2,4,30- 60 minutes a week,2,2,3,2
Plymouth,Indiana,United States,11,5,4,5,5,4,4-6 hours,5,5,30- 60 minutes a week,5,5,4,2
Sturbridge,Massachusetts,United States,52,5,5,5,5,4,4-6 hours,3,4,More than 90 minutes a week,5,4,5,3
Palm Coast,Florida,United States,15,3,4,4,5,5,7-9 hours,3,2,More than 90 minutes a week,5,4,3,3
Ypsilanti,Michigan,United States,14,4,4,5,4,5,4-6 hours,2,3,60-90 minutes a week,4,2,2,2
Grover Beach,California,United States,15,4,4,5,5,4,4-6 hours,3,3,60-90 minutes a week,3,5,3,3
Redding,California,United States,15,5,3,4,5,5,7-9 hours,2,4,60-90 minutes a week,5,5,4,5
Seattle,Washington,United States,34,5,5,5,4,5,4-6 hours,3,4,More than 90 minutes a week,4,5,4,1
American Canyon,California,United States,11,5,4,4,3,4,7-9 hours,2,3,More than 90 minutes a week,4,2,4,1
Grover Beach,California,United States,49,4,4,5,5,4,4-6 hours,3,4,More than 90 minutes a week,4,5,3,2
Ibiza,Islas Baleares,Spain,18,4,4,5,4,5,Less than an hour,3,5,60-90 minutes a week,4,5,4,2
Ibiza,Islas Baleares,Spain,23,4,4,4,5,5,7-9 hours,4,3,60-90 minutes a week,3,2,2,2
Ibiza,Islas Baleares,Spain,18,5,4,5,5,5,7-9 hours,3,5,More than 90 minutes a week,4,4,4,2
San Antoni de Portmany,Islas Baleares,Spain,18,4,2,4,5,5,4-6 hours,3,3,60-90 minutes a week,3,3,4,2
Santa Eulalia,Islas Baleares,Spain,18,4,3,4,5,3,4-6 hours,3,4,Less than 30 minutes a week,4,4,3,2
Ibiza,Islas Baleares,Spain,22,4,4,5,5,4,7-9 hours,3,5,30- 60 minutes a week,4,5,5,2
Ibiza,Islas Baleares,Spain,18,4,4,5,5,4,Less than an hour,3,4,60-90 minutes a week,5,4,4,2
Ibiza,Islas Baleares,Spain,18,5,3,4,5,5,7-9 hours,3,5,More than 90 minutes a week,5,5,5,4
Columbus,Indiana,United States,16,4,5,5,5,4,4-6 hours,4,4,More than 90 minutes a week,5,5,5,2
Buffalo,West Virginia,United States,15,5,5,5,5,5,7-9 hours,4,2,More than 90 minutes a week,5,4,4,1
Columbus,Indiana,United States,16,3,3,2,5,5,4-6 hours,4,2,60-90 minutes a week,3,3,4,4
Scottsburg,Indiana,United States,15,5,4,5,5,5,1-3 hours,2,4,30- 60 minutes a week,4,3,4,2
Eivissa,Islas Baleares,Spain,18,5,4,5,5,3,7-9 hours,3,4,60-90 minutes a week,4,4,4,2
Ann Arbor,Michigan,United States,17,5,4,5,5,4,7-9 hours,2,4,Less than 30 minutes a week,5,5,5,2
Lincoln,Arkansas,United States,16,4,3,2,5,4,4-6 hours,4,3,Less than 30 minutes a week,4,2,2,4
Plymouth,Indiana,United States,13,3,3,4,5,5,4-6 hours,4,2,60-90 minutes a week,3,2,1,3
Fort Wayne,Indiana,United States,14,5,5,5,4,5,7-9 hours,3,4,30- 60 minutes a week,4,4,2,3
Cherry Valley,Arkansas,United States,13,5,3,5,5,5,4-6 hours,4,4,30- 60 minutes a week,3,4,4,4
Cleveland,Ohio,United States,23,5,5,5,5,5,7-9 hours,3,4,More than 90 minutes a week,5,5,5,2
Scottsburg,Indiana,United States,17,2,3,2,5,4,4-6 hours,3,3,More than 90 minutes a week,4,2,1,5
Scottsburg,Indiana,United States,15,4,5,5,4,5,4-6 hours,5,5,More than 90 minutes a week,4,4,4,2
Seattle,Washington,United States,14,5,5,5,5,5,7-9 hours,3,5,More than 90 minutes a week,5,5,5,5
Trumann,Arkansas,United States,16,5,5,5,5,4,7-9 hours,4,3,60-90 minutes a week,4,5,4,3
Syracuse,New York,United States,50,5,5,4,4,2,4-6 hours,5,4,More than 90 minutes a week,3,3,3,3
Trumann,Arkansas,United States,16,5,5,5,5,3,7-9 hours,3,5,Less than 30 minutes a week,4,5,2,4
Santa Eulalia,Islas Baleares,Spain,21,4,4,5,5,5,4-6 hours,2,4,More than 90 minutes a week,5,5,4,4
Bloomington,Indiana,United States,17,5,5,5,4,2,7-9 hours,3,5,More than 90 minutes a week,5,5,5,2
Nipomo,California,United States,16,5,3,4,5,3,4-6 hours,4,4,60-90 minutes a week,4,4,3,4
Nipomo,California,United States,16,5,4,3,4,5,4-6 hours,2,2,More than 90 minutes a week,3,3,4,2
Oceano,California,United States,15,4,5,5,4,5,4-6 hours,,4,More than 90 minutes a week,4,4,4,3
Grover Beach,California,United States,15,5,4,4,5,5,1-3 hours,4,4,60-90 minutes a week,3,2,4,3
American Canyon,California,United States,15,4,3,5,5,5,7-9 hours,5,4,More than 90 minutes a week,4,4,4,2
Nipomo,California,United States,15,5,4,5,5,4,7-9 hours,4,4,60-90 minutes a week,5,5,5,3
