What city do you live in?,"What state or province do you live in, if applicable?",What country do you live in?,What is your age?,How often do you try to make other people happy?,Are your surroundings physically safe?,Do the people you're close to (family/friends) love and support you?,How often do you listen to music you enjoy?,"How often do you use technology (games, social media, etc.) for entertainment? ",How many hours of uninterrupted sleep do you get each night?,How often are you outdoors?,Do you feel respected by other people?,How much exercise do you get weekly?,How often do you smile every day?,Do you love and appreciate yourself?,"How often do you feel happy with what you do every day (e.g. work, school)?",How often do you argue with people who are close to you?
Los Angeles,California,United States,16,5,5,3,5,5,1-3 hours,5,5,60-90 minutes a week,5,5,4,5
Rochester,Indiana,United States,15,5,2,3,5,5,4-6 hours,4,3,Less than 30 minutes a week,3,1,3,4
Kokomo,Indiana,United States,13,1,1,1,1,1,Less than an hour,1,1,Less than 30 minutes a week,1,1,1,1
Odessa,Texas,United States,18,5,4,5,5,5,7-9 hours,2,2,30- 60 minutes a week,5,1,1,5
Lowell,Indiana,United States,13,2,4,5,4,3,7-9 hours,4,3,More than 90 minutes a week,2,5,4,3
Odessa,Texas,United States,15,5,4,4,5,4,4-6 hours,3,3,30- 60 minutes a week,3,3,3,4
Dallas,Texas,United States,37,3,4,5,2,4,7-9 hours,4,4,More than 90 minutes a week,4,4,3,2
Cincinnati,Ohio,United States,14,5,4,3,3,4,4-6 hours,3,3,30- 60 minutes a week,5,2,3,2
Napa,California,United States,11,5,4,5,5,4,7-9 hours,2,5,60-90 minutes a week,5,4,5,1
Albuquerque,New Mexico,United States,16,5,4,5,5,4,7-9 hours,4,5,60-90 minutes a week,4,5,4,3
Sacramento,California,United States,15,4,4,3,5,4,4-6 hours,2,4,Less than 30 minutes a week,2,2,4,3
Davis,California,United States,17,5,4,5,4,3,7-9 hours,4,4,More than 90 minutes a week,3,3,4,2
Van Wert,Ohio,United States,14,5,5,5,5,5,4-6 hours,3,5,Less than 30 minutes a week,5,5,5,4
Davis,California,United States,14,4,5,5,3,5,4-6 hours,2,4,30- 60 minutes a week,4,5,5,2
Winchester,Arkansas,United States,16,4,2,3,5,4,4-6 hours,2,3,30- 60 minutes a week,5,5,2,3
Stow,Ohio,United States,43,4,4,5,4,4,7-9 hours,2,4,Less than 30 minutes a week,4,4,4,2
Decatur,Indiana,United States,15,4,5,5,4,5,7-9 hours,5,5,Less than 30 minutes a week,5,4,4,1
Odessa,Texas,United States,15,4,2,4,4,5,4-6 hours,2,4,60-90 minutes a week,4,3,4,3
Auburn,Indiana,United States,15,4,4,5,5,3,7-9 hours,4,4,More than 90 minutes a week,3,4,4,3
Alameda,California,United States,24,4,4,4,3,5,4-6 hours,3,4,60-90 minutes a week,3,4,4,2
Idaho Falls,Idaho,United States,14,4,4,5,4,2,7-9 hours,4,4,More than 90 minutes a week,4,4,5,1
Atlanta,Georgia,United States,12,4,3,5,5,5,7-9 hours,3,3,30- 60 minutes a week,3,5,3,5
Napa,California,United States,12,4,3,5,5,5,7-9 hours,3,4,Less than 30 minutes a week,5,5,4,4
Davis,California,United States,14,3,4,4,3,5,7-9 hours,2,3,60-90 minutes a week,3,3,3,2
American Canyon,California,United States,12,5,3,4,4,5,1-3 hours,4,1,60-90 minutes a week,5,5,3,4
Davis,California,United States,15,4,4,3,5,3,7-9 hours,4,4,More than 90 minutes a week,4,4,4,4
Pismo,California,United States,14,3,4,4,5,5,7-9 hours,2,2,30- 60 minutes a week,3,4,4,3
Inkster,Michigan,United States,14,4,2,5,5,4,4-6 hours,3,3,Less than 30 minutes a week,5,5,3,3
Davis,California,United States,17,2,5,3,4,5,4-6 hours,2,4,30- 60 minutes a week,3,3,3,4
LaPorte,Indiana,United States,25,3,5,5,5,4,7-9 hours,1,2,60-90 minutes a week,3,4,2,1
Dallas,Texas,United States,15,5,3,5,5,5,7-9 hours,5,4,More than 90 minutes a week,3,5,3,4
Davis,California,United States,13,3,2,4,5,4,7-9 hours,2,3,More than 90 minutes a week,4,4,5,4
Idaho Falls,Idaho,United States,17,4,5,5,5,5,7-9 hours,3,4,More than 90 minutes a week,5,5,2,5
Idaho Falls,Idaho,United States,16,5,4,4,5,5,4-6 hours,3,4,More than 90 minutes a week,4,2,4,2
Rogers,Arkansas,United States,16,3,4,4,5,4,4-6 hours,3,3,60-90 minutes a week,3,2,2,4
Los Angeles,California,United States,17,2,3,4,5,5,7-9 hours,3,4,Less than 30 minutes a week,3,3,3,2
Napa,California,United States,14,4,4,5,5,4,7-9 hours,3,5,30- 60 minutes a week,4,4,4,5
